Description,Measure,Energy
Bagels; plain; enriched; with calcium propionate (includes onion; poppy; sesame),1.0 bagel,261
Bagels; plain; enriched; without calcium propionate (includes onion; poppy; sesame),1.0 oz,78
Bagels; plain; toasted; enriched; with calcium propionate (includes onion; poppy; sesame),"1.0 mini bagel (2-1/2"" dia)",69
Bagels; plain; unenriched; with calcium propionate (includes onion; poppy; sesame),1.0 oz,78
Bagels; plain; unenriched; without calcium propionate(includes onion; poppy; sesame),1.0 oz,78
Baking chocolate; MARS SNACKFOOD US; M & M's Milk Chocolate Mini Baking Bits,1.0 serving 0.5 oz; about 1 tbsp,70
Baking chocolate; MARS SNACKFOOD US; M & M's Semisweet Chocolate Mini Baking Bits,1.0 serving 0.5 oz; about 1 tbsp,72
Baking chocolate; mexican; squares,1.0 tablet,85
Baking chocolate; unsweetened; liquid,1.0 oz,134
Baking chocolate; unsweetened; squares,1.0 oz square Bakers,186
Balsam-pear (bitter gourd); leafy tips; cooked; boiled; drained; with salt,1.0 cup,19
Balsam-pear (bitter gourd); leafy tips; cooked; boiled; drained; without salt,1.0 cup,20
Balsam-pear (bitter gourd); leafy tips; raw,1.0 leaf,1
Balsam-pear (bitter gourd); pods; cooked; boiled; drained; with salt,"1.0 cup (1/2"" pieces)",24
Balsam-pear (bitter gourd); pods; cooked; boiled; drained; without salt,"1.0 cup (1/2"" pieces)",24
Balsam-pear (bitter gourd); pods; raw,"1.0 cup (1/2"" pieces)",16
Bamboo shoots; canned; drained solids,"1.0 cup (1/8"" slices)",25
Bamboo shoots; cooked; boiled; drained; with salt,"1.0 cup (1/2"" slices)",13
Bamboo shoots; cooked; boiled; drained; without salt,"1.0 cup (1/2"" slices)",14
Bamboo shoots; raw,"1.0 cup (1/2"" slices)",41
Bananas; dehydrated; or banana powder,1.0 cup,346
Bananas; raw,1.0 cup; mashed,200
BARBARA DEE; Winter Mints Cookies,4.0 cookies,160
Barbecue loaf; pork; beef,1.0 oz,49
Barley flour or meal,1.0 cup,511
Barley malt flour,1.0 cup,585
Barley; hulled,1.0 cup,651
Barley; pearled; cooked,1.0 cup,193
Barley; pearled; raw,1.0 cup,704
Basil; fresh,5.0 leaves,1
Bean beverage,1.0 cup,78
Beans; adzuki; mature seed; cooked; boiled; with salt,1.0 cup,294
Beans; adzuki; mature seeds; canned; sweetened,1.0 cup,702
Beans; adzuki; mature seeds; cooked; boiled; without salt,1.0 cup,294
Beans; adzuki; mature seeds; raw,1.0 cup,648
Beans; adzuki; yokan; mature seeds,1.0 slice,36
Beans; baked; canned; no salt added,1.0 cup,266
Beans; baked; canned; plain or vegetarian,1.0 cup,239
Beans; baked; canned; with beef,1.0 cup,322
Beans; baked; canned; with franks,1.0 cup,368
Beans; baked; canned; with pork,1.0 cup,268
Beans; baked; canned; with pork and sweet sauce,1.0 cup,261
Beans; baked; canned; with pork and tomato sauce,1.0 cup,231
Beans; baked; home prepared,1.0 cup,392
Beans; black turtle; mature seeds; canned,1.0 cup,218
Beans; black turtle; mature seeds; cooked; boiled; with salt,1.0 cup,240
Beans; black turtle; mature seeds; cooked; boiled; without salt,1.0 cup,240
Beans; black turtle; mature seeds; raw,1.0 cup,624
Beans; black; mature seeds; canned; low sodium,1.0 cup,218
Beans; black; mature seeds; cooked; boiled; with salt,1.0 cup,227
Beans; black; mature seeds; cooked; boiled; without salt,1.0 cup,227
Beans; black; mature seeds; raw,1.0 cup,662
Beans; chili; barbecue; ranch style; cooked,1.0 cup,245
Beans; cranberry (roman); mature seeds; canned,1.0 cup,216
Beans; cranberry (roman); mature seeds; cooked; boiled; with salt,1.0 cup,241
Beans; cranberry (roman); mature seeds; cooked; boiled; without salt,1.0 cup,241
Beans; cranberry (roman); mature seeds; raw,1.0 cup,653
Beans; fava; in pod; raw,1.0 cup,111
Beans; french; mature seeds; cooked; boiled; with salt,1.0 cup,228
Beans; french; mature seeds; cooked; boiled; without salt,1.0 cup,228
Beans; french; mature seeds; raw,1.0 cup,631
Beans; great northern; mature seeds; canned,1.0 cup,299
Beans; great northern; mature seeds; canned; low sodium,1.0 cup,299
Beans; great northern; mature seeds; cooked; boiled; with salt,1.0 cup,209
Beans; great northern; mature seeds; cooked; boiled; without salt,1.0 cup,209
Beans; great northern; mature seeds; raw,1.0 cup,620
Beans; kidney; all types; mature seeds; canned,1.0 cup,215
Beans; kidney; all types; mature seeds; cooked; boiled; with salt,1.0 cup,225
Beans; kidney; all types; mature seeds; cooked; boiled; without salt,1.0 cup,225
Beans; kidney; all types; mature seeds; raw,1.0 cup,613
Beans; kidney; california red; mature seeds; cooked; boiled; with salt,1.0 cup,219
Beans; kidney; california red; mature seeds; cooked; boiled; without salt,1.0 cup,219
Beans; kidney; california red; mature seeds; raw,1.0 cup,607
Beans; kidney; mature seeds; sprouted; raw,1.0 cup,53
Beans; kidney; red; mature seeds; canned; drained solids; rinsed in tap water,1.0 cup cup rinsed solids,191
Beans; kidney; red; mature seeds; canned; solids and liquids,1.0 cup,207
Beans; kidney; red; mature seeds; cooked; boiled; with salt,1.0 cup,225
Beans; kidney; red; mature seeds; cooked; boiled; without salt,1.0 cup,225
Beans; kidney; red; mature seeds; raw,1.0 cup,620
Beans; kidney; royal red; mature seeds; cooked; boiled with salt,1.0 cup,218
Beans; kidney; royal red; mature seeds; cooked; boiled; without salt,1.0 cup,218
Beans; kidney; royal red; mature seeds; raw,1.0 cup,605
Beans; lima; immature seeds; canned; regular pack; solids and liquids,0.5 cup,88
Beans; liquid from stewed kidney beans,1.0 cup,113
Beans; mature; red kidney; canned; solids and liquid; low sodium,1.0 cup,207
Beans; mung; mature seeds; sprouted; canned; drained solids,1.0 cup,15
Beans; navy; mature seeds; canned,1.0 cup,296
Beans; navy; mature seeds; cooked; boiled; with salt,1.0 cup,255
Beans; navy; mature seeds; cooked; boiled; without salt,1.0 cup,255
Beans; navy; mature seeds; raw,1.0 cup,701
Beans; navy; mature seeds; sprouted; raw,1.0 cup,70
Beans; pink; mature seeds; cooked; boiled; with salt,1.0 cup,252
Beans; pink; mature seeds; cooked; boiled; without salt,1.0 cup,252
Beans; pink; mature seeds; raw,1.0 cup,720
Beans; pinto; canned; drained solids,1.0 can drained solids,316
Beans; pinto; immature seeds; frozen; cooked; boiled; drained; with salt,0.333 package (10 oz) yields,152
Beans; pinto; immature seeds; frozen; cooked; boiled; drained; without salt,0.333 package (10 oz) yields,152
Beans; pinto; immature seeds; frozen; unprepared,0.333 package (10 oz),160
Beans; pinto; mature seeds; canned; drained solids; rinsed in tap water,1.0 cup,198
Beans; pinto; mature seeds; canned; solids and liquids,1.0 cup,197
Beans; pinto; mature seeds; canned; solids and liquids; low sodium,1.0 cup,197
Beans; pinto; mature seeds; cooked; boiled; with salt,1.0 cup,245
Beans; pinto; mature seeds; cooked; boiled; without salt,1.0 cup,245
Beans; pinto; mature seeds; raw,1.0 cup,670
Beans; red; kidney; mature seeds; canned; drained solids,1.0 can drained solids,330
Beans; shellie; canned; solids and liquids,1.0 cup,74
Beans; small white; mature seeds; cooked; boiled; with salt,1.0 cup,254
Beans; small white; mature seeds; cooked; boiled; without salt,1.0 cup,254
Beans; small white; mature seeds; raw,1.0 cup,722
Beans; snap; canned; all styles; seasoned; solids and liquids,0.5 cup,18
Beans; snap; green variety; canned; regular pack; solids and liquids,1.0 cup,36
Beans; snap; green; canned; no salt added; drained solids,1.0 cup,34
Beans; snap; green; canned; no salt added; solids and liquids,0.5 cup,18
Beans; snap; green; canned; regular pack; drained solids,1.0 cup,30
Beans; snap; green; cooked; boiled; drained; with salt,1.0 cup,44
Beans; snap; green; cooked; boiled; drained; without salt,1.0 cup,44
Beans; snap; green; frozen; all styles; microwaved,1.0 cup,44
Beans; snap; green; frozen; all styles; unprepared,1.0 cup,47
Beans; snap; green; frozen; cooked; boiled; drained without salt,1.0 cup,38
Beans; snap; green; frozen; cooked; boiled; drained; with salt,1.0 cup,35
Beans; snap; green; microwaved,"1.0 cup 1/2"" pieces",45
Beans; snap; green; raw,"1.0 cup 1/2"" pieces",31
Beans; snap; yellow; canned; no salt added; drained solids,1.0 cup,31
Beans; snap; yellow; canned; no salt added; solids and liquids,0.5 cup,18
Beans; snap; yellow; canned; regular pack; drained solids,1.0 cup,31
Beans; snap; yellow; canned; regular pack; solids and liquids,0.5 cup,18
Beans; snap; yellow; cooked; boiled; drained; with salt,1.0 cup,44
Beans; snap; yellow; cooked; boiled; drained; without salt,1.0 cup,44
Beans; snap; yellow; frozen; all styles; unprepared,1.0 cup,40
Beans; snap; yellow; frozen; cooked; boiled; drained; with salt,1.0 cup,35
Beans; snap; yellow; frozen; cooked; boiled; drained; without salt,1.0 cup,38
Beans; snap; yellow; raw,"1.0 cup 1/2"" pieces",31
Beans; white; mature seeds; canned,1.0 cup,299
Beans; white; mature seeds; cooked; boiled; with salt,1.0 cup,249
Beans; white; mature seeds; cooked; boiled; without salt,1.0 cup,249
Beans; white; mature seeds; raw,1.0 cup,673
Beans; yellow; mature seeds; cooked; boiled; with salt,1.0 cup,255
Beans; yellow; mature seeds; cooked; boiled; without salt,1.0 cup,255
Beans; yellow; mature seeds; raw,1.0 cup,676
BEAR NAKED; Double Chocolate Cookies,1.0 cookie,127
BEAR NAKED; Fruit  &  Nut Cookies,1.0 cookie,133
Beef broth and tomato juice; canned,1.0 fl oz,11
Beef macaroni with tomato sauce; frozen entree; reduced fat,1.0 serving,304
Beef Pot Pie; frozen entree; prepared,1.0 pie; cooked (average weight),590
Beef sausage; fresh; cooked,1.0 serving,143
Beef sausage; pre-cooked,1.0 serving,194
Beef stew; canned entree,1.0 cup (1 serving),194
Beef; Australian; grass-fed;  external fat; raw,1.0 oz,144
Beef; Australian; grass-fed;  ground;  85% lean / 15% fat; raw,1.0 serving (3 oz),199
Beef; Australian; grass-fed;  seam fat; raw,1.0 oz,159
Beef; Australian; grass-fed; loin; tenderloin steak/roast; boneless; separable lean and fat; raw,1.0 steak,226
Beef; Australian; grass-fed; loin; tenderloin steak/roast; boneless; separable lean only; raw,1.0 steak,207
Beef; Australian; grass-fed; loin; top loin steak/roast; boneless; separable lean and fat; raw,3.0 oz,169
Beef; Australian; grass-fed; loin; top loin steak/roast; boneless; separable lean only; raw,3.0 oz,111
Beef; Australian; grass-fed; loin; top sirloin cap-off steak/roast; boneless; separable lean and fat; raw,3.0 oz,108
Beef; Australian; grass-fed; rib; ribeye steak/roast lip-on; boneless; separable lean and fat; raw,3.0 oz,184
Beef; Australian; grass-fed; rib; ribeye steak/roast lip-on; boneless; separable lean only; raw,3.0 oz,136
Beef; Australian; grass-fed; round; bottom round steak/roast; boneless; separable lean and fat; raw,3.0 oz,119
Beef; Australian; grass-fed; round; bottom round steak/roast; boneless; separable lean only; raw,3.0 oz,110
Beef; Australian; grass-fed; round; top round cap-off steak/roast; boneless; separable lean and fat; raw,3.0 oz,110
Beef; Australian; grass-fed; round; top round cap-off steak/roast; boneless; separable lean only; raw,3.0 oz,110
Beef; Australian; Wagyu;  external fat; Aust. marble score 4/5; raw,1.0 oz,169
Beef; Australian; Wagyu;  external fat; Aust. marble score 9; raw,1.0 oz,179
Beef; Australian; Wagyu;  seam fat; Aust. marble score 4/5; raw,1.0 oz,168
Beef; Australian; Wagyu;  seam fat; Aust. marble score 9; raw,1.0 oz,176
Beef; Australian; Wagyu; loin; tenderloin steak/roast; boneless; separable lean and fat; Aust. marble score 4/5; raw,3.0 oz,175
Beef; Australian; Wagyu; loin; tenderloin steak/roast; boneless; separable lean and fat; Aust. marble score 9; raw,3.0 oz,211
Beef; Australian; Wagyu; loin; tenderloin steak/roast; boneless; separable lean only; Aust. marble score 4/5; raw,3.0 oz,162
Beef; Australian; Wagyu; loin; tenderloin steak/roast; boneless; separable lean only; Aust. marble score 9; raw,3.0 oz,201
Beef; Australian; Wagyu; loin; top loin steak/roast; boneless; separable lean and fat; Aust. marble score 4/5; raw,3.0 oz,246
Beef; Australian; Wagyu; loin; top loin steak/roast; boneless; separable lean only; Aust. marble score 4/5; raw,3.0 oz,190
Beef; Australian; Wagyu; loin; top loin steak/roast; boneless; separable lean only; Aust. marble score 9; raw,3.0 oz,281
Beef; Australian; Wagyu; loin; top loin steak/roast; separable lean and fat; Aust. marble score 9; raw,3.0 oz,333
Beef; Australian; Wagyu; rib; small end rib steak/roast; boneless; separable lean and fat; Aust. marble score 4/5; raw,3.0 oz,269
Beef; Australian; Wagyu; rib; small end rib steak/roast; boneless; separable lean and fat; Aust. marble score 9; raw,3.0 oz,344
Beef; Australian; Wagyu; rib; small end rib steak/roast; boneless; separable lean only; Aust. marble score 4/5; raw,3.0 oz,199
Beef; Australian; Wagyu; rib; small end rib steak/roast; boneless; separable lean only; Aust. marble score 9; raw,3.0 oz,280
Beef; bologna; reduced sodium,1.0 cup pieces,428
"Beef; bottom sirloin; tri-tip roast; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,140
"Beef; bottom sirloin; tri-tip roast; separable lean and fat; trimmed to 0"" fat; choice; cooked; roasted",3.0 oz,188
"Beef; bottom sirloin; tri-tip roast; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,148
"Beef; bottom sirloin; tri-tip roast; separable lean and fat; trimmed to 0"" fat; select; cooked; roasted",3.0 oz,171
"Beef; bottom sirloin; tri-tip roast; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,133
"Beef; bottom sirloin; tri-tip roast; separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,121
"Beef; bottom sirloin; tri-tip roast; separable lean only; trimmed to 0"" fat; choice; cooked; roasted",3.0 oz,164
"Beef; bottom sirloin; tri-tip roast; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,131
"Beef; bottom sirloin; tri-tip roast; separable lean only; trimmed to 0"" fat; select; cooked; roasted",3.0 oz,152
"Beef; bottom sirloin; tri-tip roast; separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,110
"Beef; brisket; flat half; boneless separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,112
"Beef; brisket; flat half; boneless; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,140
"Beef; brisket; flat half; boneless; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,144
"Beef; brisket; flat half; boneless; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,134
"Beef; brisket; flat half; boneless; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,116
"Beef; brisket; flat half; boneless; separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,105
"Beef; brisket; flat half; separable lean and fat; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,181
"Beef; brisket; flat half; separable lean and fat; trimmed to 0"" fat; choice; cooked; braised",3.0 oz,188
"Beef; brisket; flat half; separable lean and fat; trimmed to 0"" fat; select; cooked; braised",3.0 oz,174
"Beef; brisket; flat half; separable lean and fat; trimmed to 1/8"" fat; all grades; cooked; braised",3.0 oz,246
"Beef; brisket; flat half; separable lean and fat; trimmed to 1/8"" fat; all grades; raw",3.0 oz,235
"Beef; brisket; flat half; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; braised",3.0 oz,253
"Beef; brisket; flat half; separable lean and fat; trimmed to 1/8"" fat; choice; raw",3.0 oz,236
"Beef; brisket; flat half; separable lean and fat; trimmed to 1/8"" fat; select; cooked; braised",3.0 oz,238
"Beef; brisket; flat half; separable lean and fat; trimmed to 1/8"" fat; select; raw",3.0 oz,235
"Beef; brisket; flat half; separable lean only; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,174
"Beef; brisket; flat half; separable lean only; trimmed to 0"" fat; choice; cooked; braised",3.0 oz,180
"Beef; brisket; flat half; separable lean only; trimmed to 0"" fat; select; cooked; braised",3.0 oz,168
"Beef; brisket; flat half; separable lean only; trimmed to 1/8"" fat; all grades; cooked; braised",1.0 oz,56
"Beef; brisket; flat half; separable lean only; trimmed to 1/8"" fat; all grades; raw",1.0 oz,36
"Beef; brisket; flat half; separable lean only; trimmed to 1/8"" fat; choice; cooked; braised",1.0 oz,58
"Beef; brisket; flat half; separable lean only; trimmed to 1/8"" fat; choice; raw",1.0 oz,37
"Beef; brisket; flat half; separable lean only; trimmed to 1/8"" fat; select; cooked; braised",1.0 oz,54
"Beef; brisket; flat half; separable lean only; trimmed to 1/8"" fat; select; raw",1.0 oz,35
"Beef; brisket; point half; separable lean and fat; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,304
"Beef; brisket; point half; separable lean and fat; trimmed to 1/8"" fat; all grades; cooked; braised",3.0 oz,297
"Beef; brisket; point half; separable lean and fat; trimmed to 1/8"" fat; all grades; raw",1.0 oz,75
"Beef; brisket; point half; separable lean only; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,207
"Beef; brisket; whole; separable lean and fat; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,247
"Beef; brisket; whole; separable lean and fat; trimmed to 1/8"" fat; all grades; cooked; braised",3.0 oz,281
"Beef; brisket; whole; separable lean and fat; trimmed to 1/8"" fat; all grades; raw",1.0 oz,71
Beef; brisket; whole; separable lean only; all grades; raw,1.0 oz,44
"Beef; brisket; whole; separable lean only; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,185
Beef; carcass; separable lean and fat; choice; raw,1.0 oz,82
Beef; carcass; separable lean and fat; select; raw,1.0 oz,79
"Beef; chuck eye Country-Style ribs; boneless; separable lean and fat; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,252
"Beef; chuck eye Country-Style ribs; boneless; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,174
"Beef; chuck eye Country-Style ribs; boneless; separable lean and fat; trimmed to 0"" fat; choice; cooked; braised",3.0 oz,258
"Beef; chuck eye Country-Style ribs; boneless; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,178
"Beef; chuck eye Country-Style ribs; boneless; separable lean and fat; trimmed to 0"" fat; select; cooked; braised",3.0 oz,242
"Beef; chuck eye Country-Style ribs; boneless; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,167
"Beef; chuck eye Country-Style ribs; boneless; separable lean only; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,194
"Beef; chuck eye Country-Style ribs; boneless; separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,124
"Beef; chuck eye Country-Style ribs; boneless; separable lean only; trimmed to 0"" fat; choice; cooked; braised",3.0 oz,199
"Beef; chuck eye Country-Style ribs; boneless; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,129
"Beef; chuck eye Country-Style ribs; boneless; separable lean only; trimmed to 0"" fat; select; cooked; braised",3.0 oz,188
"Beef; chuck eye Country-Style ribs; boneless; separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,116
"Beef; chuck eye roast; boneless; America's Beef Roast; separable lean and fat; trimmed to 0"" fat; all grades; cooked; roasted",3.0 oz,201
"Beef; chuck eye roast; boneless; America's Beef Roast; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,153
"Beef; chuck eye roast; boneless; America's Beef Roast; separable lean and fat; trimmed to 0"" fat; choice; cooked; roasted",3.0 oz,205
"Beef; chuck eye roast; boneless; America's Beef Roast; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,157
"Beef; chuck eye roast; boneless; America's Beef Roast; separable lean and fat; trimmed to 0"" fat; select; cooked; roasted",3.0 oz,195
"Beef; chuck eye roast; boneless; America's Beef Roast; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,147
