Description,Measure,Energy
Babyfood; cereal; rice; with applesauce and bananas; strained,1.0 tbsp,13
Babyfood; cereal; rice; with bananas; dry,1.0 tbsp,10
Babyfood; cereal; rice; with bananas; prepared with whole milk,1.0 oz,24
Babyfood; cereal; rice; with honey; prepared with whole milk,1.0 oz,33
Babyfood; cereal; rice; with mixed fruit; junior,1.0 tbsp,12
Babyfood; cereal; whole wheat; with apples; dry,0.5 oz,60
Babyfood; cereal; with egg yolks; junior,1.0 oz,15
Babyfood; cereal; with egg yolks; strained,1.0 oz,14
Babyfood; cereal; with eggs; strained,1.0 oz,16
Babyfood; cherry cobbler; junior,1.0 oz,22
Babyfood; cookie; baby; fruit,1.0 cookie,35
Babyfood; cookies,1.0 oz,123
Babyfood; cookies; arrowroot,1.0 oz,120
Babyfood; corn and sweet potatoes; strained,1.0 oz,19
Babyfood; crackers; vegetable,1.0 cracker,3
Babyfood; dessert; banana pudding; strained,1.0 tbsp,10
Babyfood; dessert; banana yogurt; strained,1.0 tbsp,12
Babyfood; dessert; blueberry yogurt; strained,1.0 tbsp,12
Babyfood; dessert; cherry vanilla pudding; junior,1.0 oz,20
Babyfood; dessert; cherry vanilla pudding; strained,1.0 oz,19
Babyfood; dessert; custard pudding; vanilla; junior,1.0 cup,197
Babyfood; dessert; custard pudding; vanilla; strained,1.0 cup,195
Babyfood; dessert; dutch apple; junior,1.0 oz,22
Babyfood; dessert; dutch apple; strained,1.0 oz,21
Babyfood; dessert; fruit dessert; without ascorbic acid; junior,1.0 tbsp,9
Babyfood; dessert; fruit dessert; without ascorbic acid; strained,1.0 tbsp,9
Babyfood; dessert; fruit pudding; orange; strained,1.0 oz,23
Babyfood; dessert; fruit pudding; pineapple; strained,1.0 tbsp,12
Babyfood; dessert; peach cobbler; junior,1.0 tbsp,10
Babyfood; dessert; peach cobbler; strained,1.0 tbsp,10
Babyfood; dessert; peach melba; junior,1.0 oz,17
Babyfood; dessert; peach melba; strained,1.0 oz,17
Babyfood; dessert; peach yogurt,1.0 tbsp,11
Babyfood; dessert; tropical fruit; junior,1.0 oz,17
Babyfood; dinner; apples and chicken; strained,1.0 oz,18
Babyfood; dinner; beef and rice; toddler,1.0 oz,23
Babyfood; dinner; beef lasagna; toddler,1.0 oz,22
Babyfood; dinner; beef noodle; junior,1.0 tbsp,9
Babyfood; dinner; beef noodle; strained,1.0 tbsp,10
Babyfood; dinner; beef stew; toddler,1.0 oz,14
Babyfood; dinner; beef with vegetables,1.0 jar Beech-Nut Stage 2 (4 oz),108
Babyfood; dinner; broccoli and chicken; junior,1.0 tbsp,18
Babyfood; dinner; chicken and noodle with vegetables; toddler,1.0 tbsp,11
Babyfood; dinner; chicken and rice,1.0 tbsp,8
Babyfood; dinner; chicken noodle; junior,1.0 tbsp,9
Babyfood; dinner; chicken noodle; strained,1.0 tbsp,11
Babyfood; dinner; chicken soup; strained,1.0 jar Beech-Nut Stage 2 (4 oz),56
Babyfood; dinner; chicken stew; toddler,1.0 tbsp,12
Babyfood; dinner; macaroni and cheese; junior,1.0 oz,17
Babyfood; dinner; macaroni and cheese; strained,1.0 oz,19
Babyfood; dinner; macaroni and tomato and beef; junior,1.0 tbsp,9
Babyfood; dinner; macaroni and tomato and beef; strained,1.0 tbsp,10
Babyfood; dinner; macaroni; beef and tomato sauce; toddler,1.0 tbsp,13
Babyfood; dinner; mixed vegetable; junior,1.0 oz,9
Babyfood; dinner; mixed vegetable; strained,1.0 oz,12
Babyfood; dinner; pasta with vegetables,1.0 jar; Gerber (4 oz),68
Babyfood; dinner; potatoes with cheese and ham; toddler,1.0 oz,22
Babyfood; dinner; spaghetti and tomato and meat; junior,1.0 tbsp,11
Babyfood; dinner; spaghetti and tomato and meat; toddler,1.0 oz,21
Babyfood; dinner; sweet potatoes and chicken; strained,1.0 tbsp,12
Babyfood; dinner; turkey and rice; junior,1.0 tbsp,9
Babyfood; dinner; turkey and rice; strained,1.0 tbsp,8
Babyfood; dinner; turkey; rice; and vegetables; toddler,1.0 oz,17
Babyfood; dinner; vegetables and bacon; strained,1.0 cup,177
Babyfood; dinner; vegetables and beef; junior,1.0 cup,197
Babyfood; dinner; vegetables and beef; strained,1.0 cup,197
Babyfood; dinner; vegetables and chicken; junior,1.0 cup,136
Babyfood; dinner; vegetables and dumplings and beef; junior,1.0 oz,14
Babyfood; dinner; vegetables and dumplings and beef; strained,1.0 oz,14
Babyfood; dinner; vegetables and ham; junior,1.0 cup,154
Babyfood; dinner; vegetables and ham; strained,1.0 cup,151
Babyfood; dinner; vegetables and lamb; junior,1.0 oz,14
Babyfood; dinner; vegetables and lamb; strained,1.0 cup,133
Babyfood; dinner; vegetables and noodles and turkey; junior,1.0 oz,15
Babyfood; dinner; vegetables and noodles and turkey; strained,1.0 oz,12
Babyfood; dinner; vegetables and turkey; junior,1.0 cup,136
Babyfood; dinner; vegetables and turkey; strained,1.0 cup,123
Babyfood; dinner; vegetables chicken; strained,1.0 cup,151
Babyfood; dinner; vegetables; noodles and chicken; junior,1.0 oz,18
Babyfood; dinner; vegetables; noodles and chicken; strained,1.0 oz,18
Babyfood; fruit and vegetable; apple and sweet potato,1.0 jar; Gerber (4 oz),72
Babyfood; fruit dessert; mango with tapioca,1.0 tbsp,10
Babyfood; fruit supreme dessert,1.0 tbsp,11
Babyfood; fruit; apple and blueberry; junior,1.0 oz,18
Babyfood; fruit; apple and blueberry; strained,1.0 oz,17
Babyfood; fruit; apple and raspberry; junior,1.0 oz,16
Babyfood; fruit; apple and raspberry; strained,1.0 oz,16
Babyfood; fruit; applesauce and apricots; junior,1.0 tbsp,8
Babyfood; fruit; applesauce and apricots; strained,1.0 tbsp,7
Babyfood; fruit; applesauce and cherries; junior,1.0 oz,14
Babyfood; fruit; applesauce and cherries; strained,1.0 oz,14
Babyfood; fruit; applesauce and pineapple; junior,1.0 oz,11
Babyfood; fruit; applesauce and pineapple; strained,1.0 oz,10
Babyfood; fruit; applesauce with banana; junior,1.0 tbsp,11
Babyfood; fruit; applesauce; junior,1.0 tbsp,6
Babyfood; fruit; applesauce; strained,1.0 tbsp,7
Babyfood; fruit; apricot with tapioca; junior,1.0 tbsp,9
